Countries and areas,Adolescent population Aged 10-19 (thousands),Adolescent population Proportion of total population (%),Adolescents currently married/ in union male,Adolescents currently married/ in union female,Births by age 18 (%),Adolescent birth rate,Justification of wife-beating among adolescents  male,Justification of wife-beating among adolescents female,Use of mass media among adolescents (%) male,Use of mass media among adolescents (%) female,Lower secondary school gross enrolment ratio,Upper secondary school gross enrolment ratio,Comprehensive knowledge of HIV among adolescents (%) male,Comprehensive knowledge of HIV among adolescents (%) female,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Afghanistan,"8,587",25,3,17,20,90,71,78,70,52,67,43,4,1,,104
Albania,446,15,1,8,3,18,  37 ,  24 ,  97 ,  99 ,101,89,21,36,101,105
Algeria,"5,942",15,    ,3,1,12,    ,  55 ,    ,    ,132,63,    ,7,102,103
Andorra,    ,    ,    ,    ,    ,5,    ,    ,    ,    ,    ,    ,    ,    ,99,
Angola,"6,486",23,2,18,38,191,24,25,84,77,36,21,29,31,,110
Anguilla,    ,    ,    ,    ,    ,46,    ,    ,    ,    ,    ,    ,    ,    ,,
Antigua and Barbuda,17,17,    ,    ,    ,67,    ,    ,    ,    ,117,82,55,40,,107
Argentina,"7,020",16,    ,    ,12,70,    ,  2 ,    ,    ,128,85,    ,36,100,110
Armenia,356,12,0,5,1,23,  25 ,  9 ,  88 ,  92 ,88,90,9,15,99,109
Australia,"2,897",12,    ,    ,    ,14,    ,    ,    ,    ,112,186,    ,    ,,105
Austria,873,10,    ,    ,    ,8,    ,    ,    ,    ,100,100,    ,    ,101,106
Azerbaijan,"1,358",14,    ,9,4,47,    ,  24 ,    ,  98 ,91,    ,2,3,95,109
Bahamas,55,14,    ,    ,    ,40,    ,    ,    ,    ,    ,    ,    ,    ,,108
Bahrain,158,11,    ,    ,    ,15,    ,    ,    ,    ,101,103,    ,    ,97,103
Bangladesh,"32,575",20,    ,44,36,83,    ,29,    ,54,83,48,    ,12,,105
Barbados,37,13,    ,1,7,49,    ,  5 ,    ,  98 ,107,113,    ,66,,107
Belarus,904,10,1,7,3,22,  3 ,  3 ,    ,    ,102,119,53,51,100,116
Belgium,"1,253",11,    ,    ,    ,8,    ,    ,    ,    ,185,158,    ,    ,102,106
Belize,78,21,11,21,17,64,8,6,92,92,91,60,    ,39,98,108
Benin,"2,440",22,1,16,19,98,19,31,68,57,70,38,29,22,95,105
Bhutan,148,19,    ,15,15,28,    ,  70 ,    ,    ,96,69,    ,22,101,101
Bolivia (Plurinational State of),"2,216",20,4,13,20,89,    ,  17 ,  100 ,  97 ,96,81,24,20,101,108
Bosnia and Herzegovina,410,12,0,1,    ,11,  5 ,  1 ,  100 ,  100 ,    ,    ,41,42,101,107
Botswana,431,19,    ,    ,    ,39,    ,    ,    ,    ,91,    ,    ,    ,103,109
Brazil,"33,760",16,1,4,    ,65,    ,    ,    ,    ,106,91,    ,    ,,110
British Virgin Islands,    ,    ,    ,    ,    ,27,    ,    ,    ,    ,111,80,    ,    ,,
Brunei Darussalam,70,16,    ,    ,    ,17,    ,    ,    ,    ,105,93,    ,    ,97,104
Bulgaria,620,9,    ,2,5,43,    ,    ,    ,    ,90,108,    ,    ,100,110
Burkina Faso,"4,306",23,2,32,28,136,  40 ,  39 ,  61 ,  55 ,47,13,31,29,114,102
Burundi,"2,243",21,1,9,11,65,  56 ,  74 ,  83 ,  69 ,54,25,50,46,118,107
Cabo Verde,114,21,2,8,22,92,  24 ,  23 ,  88 ,  88 ,115,73,    ,    ,101,106
Cambodia,"3,052",19,3,16,7,57,  26 ,  46 ,  77 ,  74 ,63,    ,42,33,134,106
Cameroon,"5,206",22,1,20,28,128,45,37,80,64,68,43,30,26,104,104
Canada,"3,968",11,    ,    ,    ,13,    ,    ,    ,    ,100,119,    ,    ,,105
Central African Republic,"1,117",24,11,55,45,229,  83 ,  79 ,    ,    ,23,9,26,17,96,107
Chad,"3,433",24,3,38,51,203,54,69,30,23,26,18,12,10,85,105
Chile,"2,591",14,    ,    ,    ,50,    ,    ,    ,    ,103,100,    ,    ,101,107
China,"159,642",11,1,2,    ,6,    ,    ,    ,    ,99,90,    ,    ,,104
Colombia,"8,139",17,    ,13,20,85,    ,    ,    ,    ,106,82,    ,21,106,110
Comoros,173,22,8,16,17,71,  29 ,  43 ,  79 ,  67 ,66,52,21,18,121,105
Congo,"1,083",21,2,16,26,147,  76 ,  73 ,  56 ,  68 ,65,38,25,16,,105
Cook Islands,    ,    ,    ,    ,    ,56,    ,    ,    ,    ,96,73,    ,    ,94,
Costa Rica,759,16,2,10,13,67,    ,  3 ,    ,    ,133,109,    ,29,101,106
C̫te d'Ivoire,"5,409",23,1,21,31,125,  51 ,  51 ,  73 ,  62 ,55,28,21,15,95,106
Croatia,447,11,    ,    ,    ,12,    ,    ,    ,    ,104,93,    ,    ,99,109
Cuba,"1,336",12,7,16,6,50,  5 ,  4 ,    ,    ,101,100,48,59,100,105
Cyprus,143,12,    ,    ,    ,4,    ,    ,    ,    ,100,100,    ,    ,99,106
Czechia,936,9,    ,    ,    ,11,    ,    ,    ,    ,101,110,    ,    ,100,108
Democratic People's Republic of Korea,"3,839",15,    ,    ,    ,1,    ,    ,    ,    ,92,95,    ,7,,110
Democratic Republic of the Congo,"17,401",22,1,21,27,135,  69 ,  75 ,  49 ,  38 ,56,37,20,17,99,105
Denmark,690,12,    ,    ,    ,2,    ,    ,    ,    ,117,144,    ,    ,100,105
Djibouti,196,21,1,3,    ,21,    ,    ,    ,    ,53,41,    ,16,88,105
Dominica,    ,    ,    ,    ,    ,47,    ,    ,    ,    ,115,81,39,49,95,
Dominican Republic,"2,007",19,    ,28,21,90,    ,3,    ,98,86,74,39,    ,105,109
Ecuador,"3,005",18,    ,16,    ,100,    ,    ,    ,    ,116,96,    ,    ,102,107
Egypt,"17,041",18,    ,14,7,56,    ,  46 ,  100 ,  100 ,99,73,5,3,,106
El Salvador,"1,289",20,    ,16,18,63,    ,10,    ,98,99,61,25,28,105,113
Equatorial Guinea,217,18,5,22,42,177,  56 ,  57 ,  91 ,  91 ,39,    ,12,17,100,105
Eritrea,"1,085",22,1,17,19,    ,  60 ,  51 ,  70 ,  54 ,39,23,32,22,103,107
Estonia,122,9,    ,    ,    ,16,    ,    ,    ,    ,112,118,    ,    ,101,113
Ethiopia,"24,772",24,  1 ,17,22,71,  33 ,  60 ,  38 ,  31 ,43,18,32,24,105,106
Fiji,157,17,    ,    ,    ,28,    ,    ,    ,    ,103,76,    ,    ,98,109
Finland,594,11,    ,    ,    ,7,    ,    ,    ,    ,102,194,    ,    ,100,107
France,"7,723",12,    ,    ,    ,9,    ,    ,    ,    ,108,115,    ,    ,,108
Gabon,379,19,1,14,28,115,  47 ,  58 ,  95 ,  94 ,    ,    ,35,29,,105
Gambia,467,23,0,24,19,88,  42 ,  58 ,  82 ,  70 ,64,    ,27,22,106,104
Georgia,450,11,    ,11,6,40,    ,  5 ,    ,    ,114,95,    ,    ,100,112
Germany,"7,795",10,    ,    ,    ,8,    ,    ,    ,    ,101,105,    ,    ,100,106
Ghana,"6,009",21,1,6,17,65,  20 ,  35 ,  81 ,  67 ,89,39,25,18,97,103
Greece,"1,108",10,    ,    ,    ,9,    ,    ,    ,    ,101,111,    ,    ,100,107
Grenada,19,17,    ,    ,    ,53,    ,    ,    ,    ,100,98,67,59,,107
Guatemala,"3,787",23,6,20,20,92,12,14,  95 ,  90 ,72,55,18,20,99,109
Guinea,"2,786",22,1,33,40,154,  63 ,  89 ,  55 ,  53 ,44,31,29,20,97,102
Guinea-Bissau,395,22,0,11,28,137,37,40,96,89,    ,    ,19,20,,106
Guyana,165,21,13,13,16,97,14,10,95,96,93,83,33,48,105,107
Haiti,"2,285",21,2,12,13,65,  22 ,  24 ,  85 ,  80 ,    ,    ,25,32,,107
Holy See,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,,
Honduras,"1,990",22,5,23,22,99,  18 ,  15 ,  98 ,  94 ,74,66,33,29,110,107
Hungary,996,10,    ,    ,    ,20,    ,    ,    ,    ,100,110,    ,    ,100,110
Iceland,43,13,    ,    ,    ,7,    ,    ,    ,    ,97,133,    ,    ,102,104
India,"250,086",19,5,30,22,39,  47 ,  45 ,  88 ,  72 ,88,64,35,19,99,105
Indonesia,"46,188",18,    ,9,7,47,  48 ,  45 ,  88 ,  91 ,95,76,4,9,,106
Iran (Islamic Republic of),"10,928",14,    ,16,5,35,    ,    ,    ,    ,99,85,    ,    ,99,103
Iraq,"8,019",22,    ,21,12,68,    ,  50 ,    ,    ,    ,    ,    ,3,,107
Ireland,583,12,    ,    ,    ,9,    ,    ,    ,    ,111,154,    ,    ,,105
Israel,"1,296",16,    ,    ,    ,10,    ,    ,    ,    ,104,101,    ,    ,98,104
Italy,"5,592",9,    ,    ,    ,6,    ,    ,    ,    ,106,101,    ,    ,100,106
Jamaica,520,18,    ,3,15,72,    ,  8 ,    ,    ,86,76,34,39,103,107
Japan,"11,650",9,    ,    ,    ,4,    ,    ,    ,    ,102,101,    ,    ,100,108
Jordan,"1,918",20,    ,6,4,27,    ,  84 ,    ,  100 ,87,74,    ,6,,105
Kazakhstan,"2,269",13,    ,6,2,31,    ,8,    ,96,114,103,30,    ,101,115
Kenya,"11,065",23,1,12,23,101,  37 ,  45 ,  84 ,  75 ,97,    ,58,52,,108
Kiribati,23,20,5,16,9,49,  65 ,  77 ,  58 ,  57 ,105,    ,46,41,,110
Kuwait,450,11,    ,    ,    ,8,    ,    ,    ,    ,99,85,    ,    ,101,103
Kyrgyzstan,991,17,    ,14,4,42,    ,  22 ,    ,  100 ,97,81,18,    ,100,112
Lao People's Democratic Republic,"1,432",21,9,25,18,94,  50 ,  56 ,  92 ,  93 ,76,43,25,23,104,105
Latvia,181,9,    ,    ,    ,15,    ,    ,    ,    ,116,123,    ,    ,100,114
Lebanon,"1,061",18,    ,3,    ,18,    ,  22 ,    ,    ,68,55,    ,    ,108,105
Lesotho,495,22,1,18,14,94,49,48,60,66,63,40,30,35,129,109
Liberia,"1,041",23,2,14,37,147,  29 ,  45 ,  59 ,  47 ,44,29,19,35,,103
Libya,"1,093",17,    ,    ,    ,4,    ,    ,    ,    ,    ,    ,    ,    ,,108
Liechtenstein,    ,    ,    ,    ,    ,2,    ,    ,    ,    ,98,139,    ,    ,,
Lithuania,307,11,    ,    ,    ,14,    ,    ,    ,    ,106,114,    ,    ,100,115
Luxembourg,65,11,    ,    ,    ,6,    ,    ,    ,    ,114,94,    ,    ,103,106
Madagascar,"5,740",23,7,28,36,147,  44 ,  47 ,  62 ,  59 ,50,22,24,21,105,105
Malawi,"4,262",24,3,24,31,143,24,21,50,35,53,22,43,39,102,109
Malaysia,"5,513",18,5,6,    ,13,    ,    ,    ,    ,89,69,    ,    ,101,106
Maldives,59,14,    ,5,1,14,    ,  41 ,    ,  100 ,97,    ,    ,22,106,103
Mali,"4,135",23,2,40,37,178,  54 ,  68 ,  83 ,  75 ,52,29,27,21,94,102
Malta,44,10,    ,    ,    ,16,    ,    ,    ,    ,102,90,    ,    ,104,104
Marshall Islands,    ,    ,5,21,21,85,  71 ,  47 ,  86 ,  85 ,81,67,35,27,,
Mauritania,917,21,1,28,22,71,    ,  36 ,  55 ,  44 ,37,21,10,    ,98,105
Mauritius,189,15,    ,    ,    ,31,    ,    ,    ,    ,111,84,    ,    ,99,110
Mexico,"23,416",18,6,15,21,84,    ,6,    ,96,116,65,    ,28,102,107
Micronesia (Federated States of),25,24,    ,    ,    ,33,    ,    ,    ,    ,81,    ,    ,    ,,103
Monaco,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,,
Mongolia,448,15,1,5,3,40,  9 ,  14 ,98,98,93,90,17,18,,113
Montenegro,81,13,0,2,3,12,  5 ,  2 ,    ,    ,95,86,35,42,102,106
Montserrat,    ,    ,    ,    ,    ,36,    ,    ,    ,    ,    ,    ,    ,    ,,
Morocco,"5,982",17,1,11,8,32,    ,  64 ,    ,  90 ,97,55,    ,    ,96,103
Mozambique,"6,649",23,8,37,40,166,  20 ,  24 ,  73 ,  57 ,39,21,28,28,94,108
Myanmar,"10,042",19,5,13,5,17,57,53,75,76,59,34,14,13,,107
Namibia,539,22,1,5,15,78,  30 ,  28 ,  65 ,  69 ,92,    ,51,56,104,109
Nauru,    ,    ,9,18,22,106,    ,    ,  89 ,  86 ,77,94,8,8,,
Nepal,"6,625",23,    ,25,16,87,    ,  35 ,    ,  77 ,93,50,24,18,104,105
Netherlands,"2,021",12,    ,    ,    ,5,    ,    ,    ,    ,136,134,    ,    ,,105
New Zealand,616,13,    ,    ,    ,22,    ,    ,    ,    ,103,134,    ,    ,,104
Nicaragua,"1,207",20,    ,24,28,92,    ,  19 ,    ,  95 ,    ,    ,    ,    ,,108
Niger,"4,704",23,3,61,48,210,  41 ,  54 ,  35 ,  44 ,27,10,21,12,104,103
Nigeria,"41,050",22,1,29,29,123,  27 ,  33 ,  54 ,  50 ,52,60,29,22,,103
Niue,    ,    ,    ,    ,    ,16,    ,    ,    ,    ,119,95,    ,    ,,
Norway,633,12,    ,    ,    ,6,    ,    ,    ,    ,100,125,    ,    ,100,105
Oman,480,11,    ,3,2,12,    ,10,    ,    ,113,96,    ,    ,101,106
Pakistan,"38,907",20,2,14,8,48,  33 ,  53 ,  59 ,  49 ,57,35,5,1,99,103
Palau,    ,    ,    ,    ,    ,27,    ,    ,    ,    ,78,119,    ,    ,,
Panama,696,17,    ,14,    ,89,    ,  9 ,    ,  96 ,94,57,    ,    ,102,108
Papua New Guinea,"1,728",21,3,15,14,65,    ,    ,    ,    ,73,22,    ,    ,,108
Paraguay,"1,342",20,    ,11,    ,63,    ,    ,    ,    ,84,69,    ,    ,104,106
Peru,"5,606",18,    ,11,16,68,    ,    ,    ,  90 ,100,90,    ,21,103,107
Philippines,"20,667",20,    ,10,8,59,    ,  14 ,    ,  90 ,92,77,    ,19,,110
Poland,"3,814",10,    ,    ,    ,14,    ,    ,    ,    ,101,115,    ,    ,100,111
Portugal,"1,080",10,    ,    ,    ,12,    ,    ,    ,    ,119,119,    ,    ,,108
Qatar,200,8,1,4,    ,16,  22 ,  6 ,  98 ,  98 ,100,82,23,10,97,103
Republic of Korea,"5,686",11,    ,    ,    ,2,    ,    ,    ,    ,103,95,    ,    ,100,108
Republic of Moldova,444,11,1,10,4,25,  14 ,  13 ,  96 ,  96 ,87,85,26,35,100,113
Romania,"2,132",11,    ,    ,    ,36,    ,    ,    ,    ,93,92,    ,    ,100,110
Russian Federation,"13,260",9,    ,    ,    ,27,    ,    ,    ,    ,101,114,    ,    ,101,117
Rwanda,"2,607",22,0,3,6,41,24,45,78,71,42,31,60,62,118,107
Saint Kitts and Nevis,    ,    ,    ,    ,    ,75,    ,    ,    ,    ,93,86,55,54,98,
Saint Lucia,29,16,    ,4,    ,50,    ,  15 ,    ,  99 ,87,82,    ,58,100,107
Saint Vincent and the Grenadines,19,17,    ,    ,    ,70,    ,    ,    ,    ,120,86,    ,    ,,106
Samoa,43,22,1,8,6,39,  28 ,  34 ,  99 ,  97 ,102,78,5,2,97,109
San Marino,    ,    ,    ,    ,    ,1,    ,    ,    ,    ,94,95,    ,    ,103,
Sao Tome and Principe,46,23,1,15,27,110,19,24,97,97,110,61,42,41,,107
Saudi Arabia,"4,818",15,    ,    ,    ,7,    ,    ,    ,    ,108,108,    ,    ,,104
Senegal,"3,380",22,0,21,18,80,36,57,69,76,59,36,28,26,108,106
Serbia,"1,063",12,    ,4,1,22,    ,  2 ,  99 ,  100 ,102,91,43,53,97,108
Seychelles,12,12,    ,    ,    ,62,    ,    ,    ,    ,112,59,    ,    ,,113
Sierra Leone,"1,704",23,1,19,36,131,  32 ,  55 ,  55 ,  49 ,61,28,29,28,101,102
Singapore,665,12,    ,    ,    ,3,    ,    ,    ,    ,    ,    ,    ,    ,,105
Slovakia,553,10,    ,    ,    ,21,    ,    ,    ,    ,98,86,    ,    ,101,110
Slovenia,186,9,    ,    ,    ,5,    ,    ,    ,    ,100,118,    ,    ,100,107
Solomon Islands,134,22,2,11,15,62,60,78,37,28,78,29,26,29,114,104
Somalia,"3,333",23,    ,25,    ,123,    ,  75 ,    ,    ,    ,    ,    ,3,,106
South Africa,"10,319",18,2,4,15,54,    ,    ,    ,    ,97,88,    ,    ,,112
South Sudan,"2,767",23,    ,40,28,158,    ,  72 ,    ,    ,18,5,    ,8,,104
Spain,"4,386",9,    ,    ,    ,9,    ,    ,    ,    ,124,136,    ,    ,100,107
Sri Lanka,"3,284",16,    ,9,4,24,    ,  54 ,    ,  88 ,99,99,    ,    ,100,109
State of Palestine,"1,083",23,    ,9,22,67,    ,    ,    ,    ,88,66,    ,5,105,105
Sudan,"9,060",23,    ,21,22,102,    ,36,    ,    ,54,35,10,    ,99,105
Suriname,99,18,    ,12,    ,66,    ,  19 ,    ,  99 ,101,54,    ,40,115,109
Swaziland,302,23,0,4,17,89,29,32,89,86,75,52,44,45,107,112
Sweden,"1,025",10,    ,    ,    ,3,    ,    ,    ,    ,115,164,    ,    ,100,104
Switzerland,833,10,    ,    ,    ,3,    ,    ,    ,    ,106,98,    ,    ,,105
Syrian Arab Republic,"4,586",25,    ,10,9,75,    ,    ,    ,    ,61,32,    ,6,101,120
Tajikistan,"1,710",20,    ,13,2,47,    ,  47 ,    ,  89 ,98,68,9,    ,101,109
Thailand,"9,207",13,7,14,9,60,9,9,    ,    ,128,130,45,47,,111
The former Yugoslav Republic of Macedonia,253,12,    ,4,2,19,    ,  14 ,    ,    ,83,76,    ,23,99,105
Timor-Leste,314,25,0,8,9,54,  72 ,  81 ,  61 ,  62 ,87,65,15,11,103,105
Togo,"1,665",22,1,13,15,77,  19 ,  26 ,  67 ,  63 ,68,36,28,23,96,103
Tokelau,    ,    ,    ,    ,    ,30,    ,    ,    ,    ,206,    ,    ,    ,,
Tonga,24,23,4,5,2,30,  29 ,  27 ,  92 ,  95 ,103,56,13,10,,109
Trinidad and Tobago,177,13,    ,6,    ,36,    ,  10 ,    ,    ,    ,    ,    ,49,,110
Tunisia,"1,618",14,    ,1,1,7,    ,  27 ,    ,  98 ,103,78,    ,15,103,106
Turkey,"13,335",17,    ,7,6,29,    ,  10 ,    ,    ,99,106,    ,    ,99,109
Turkmenistan,954,17,    ,6,1,21,    ,17,    ,100,73,120,    ,19,,111
Turks and Caicos Islands,    ,    ,    ,    ,    ,29,    ,    ,    ,    ,    ,    ,    ,    ,,
Tuvalu,    ,    ,2,8,3,42,  83 ,  69 ,  89 ,  95 ,99,56,57,31,,
Uganda,"9,920",24,2,20,33,140,  52 ,  62 ,  88 ,  82 ,    ,    ,40,41,103,108
Ukraine,"4,059",9,0,7,4,27,  2 ,  2 ,  97 ,  96 ,102,93,37,43,100,115
United Arab Emirates,682,7,    ,    ,    ,34,    ,    ,    ,    ,92,    ,    ,    ,103,103
United Kingdom,"7,309",11,    ,    ,    ,21,    ,    ,    ,    ,113,138,    ,    ,,105
United Republic of Tanzania,"12,505",23,2,23,22,128,50,59,61,57,43,9,42,37,115,106
United States,"42,010",13,    ,    ,    ,27,    ,    ,    ,    ,102,93,    ,    ,,106
Uruguay,508,15,    ,7,    ,60,    ,  3 ,    ,    ,110,81,    ,36,101,110
Uzbekistan,"5,360",17,    ,5,2,26,  63 ,  63 ,    ,    ,97,95,    ,27,101,108
Vanuatu,54,20,4,11,13,78,  63 ,  56 ,  58 ,  58 ,70,34,    ,14,,106
Venezuela (Bolivarian Republic of),"5,655",18,    ,16,24,101,    ,    ,    ,    ,97,79,    ,    ,100,112
Viet Nam,"13,605",14,    ,10,5,36,    ,  28 ,    ,  97 ,97,    ,    ,51,104,113
Yemen,"6,297",23,    ,17,17,67,    ,  49 ,    ,  85 ,58,39,    ,2,93,105
Zambia,"3,956",24,1,17,31,145,  41 ,  49 ,  75 ,  69 ,63,    ,42,39,94,108
Zimbabwe,"3,557",22,1,20,22,120,49,54,57,53,68,37,41,41,104,106