Countries and areas,Life expectancy: females as a % of males,Adult literacy rate: females as a % of males,"Enrolment ratios: 
females as a % of males Primary GER","Enrolment ratios: 
females as a % of males Secondary GER", Demand for family planning satisfied with modern methods (%) ,Antenatal care (%) At least one visit,Antenatal care (%) At least four visits,Delivery care (%) Skilled birth attendant,Delivery care (%) Institutional delivery,Delivery care (%) Csection,Postnatal health check (%)+ For newborns,Postnatal health check (%)+For mothers,Maternal mortality ratio† Reported,Maternal mortality ratio† Adjusted,Lifetime risk of maternal death (1 in:),Survival rate to the last grade of primary: females as a % of males
Afghanistan,104,39,69,56,42,59,18,51,48,3,9,40,"1,300",396,52,
Albania,105,98,97,94,13,97,67,99,97,19,1,83,6,29,"1,900",101
Algeria,103,82,94,104,77,93,67,97,97,16,,,,140,240,102
Andorra,,100,,,,,,,,,,,,,,99
Angola,110,67,64,65,24,82,61,50,46,4,21,23,,477,32,
Anguilla,,,,,,,,,,,,,,,,
Antigua and Barbuda,107,101,94,102,,100,100,100,,,,,0,,,
Argentina,110,100,100,107,,98,90,100,99,29,,,39,52,790,100
Armenia,109,100,100,101,40,100,96,100,99,18,98,97,17,25,"2,300",99
Australia,105,,100,95,,98,92,,99,31,,,,6,"8,700",
Austria,106,,99,95,,,,99,99,24,,,,4,"18,200",101
Azerbaijan,109,100,98,,22,92,66,100,93,20,3,83,14,25,"1,600",95
Bahamas,108,,,,,98,85,98,,,,,37,80,660,
Bahrain,103,95,101,100,,100,100,100,98,,,,17,15,"3,000",97
Bangladesh,105,92,108,113,73,64,31,42,37,23,32,36,180,176,240,
Barbados,107,,101,103,70,93,88,99,100,21,98,97,52,27,"2,100",
Belarus,116,100,100,99,74,100,100,100,100,25,100,100,0,4,"13,800",100
Belgium,106,,100,114,,,,,,18,,,,7,"8,000",102
Belize,108,,95,102,66,97,93,97,96,34,96,96,45,28,"1,300",98
Benin,105,49,92,70,25,83,59,77,87,5,80,78,350,405,51,95
Bhutan,101,73,107,107,85,98,85,86,74,12,30,41,86,148,310,101
Bolivia (Plurinational State of),108,92,97,98,43,90,75,85,71,27,76,77,310,206,160,101
Bosnia and Herzegovina,107,96,,,22,87,84,100,100,14,,,0,11,"6,800",101
Botswana,109,102,97,,82,94,73,99,100,,,,130,129,270,103
Brazil,110,101,97,105,90,97,91,99,99,56,,,55,44,"1,200",
British Virgin Islands,,,,,,,,,,,,,,,,
Brunei Darussalam,104,97,100,100,,99,93,100,100,,,,,23,"2,300",97
Bulgaria,110,99,99,97,,,,100,94,36,,,6,11,"6,200",100
Burkina Faso,102,59,96,92,44,93,47,80,82,4,33,74,330,371,48,114
Burundi,107,78,101,91,33,99,49,85,84,4,8,49,500,712,23,118
Cabo Verde,106,89,95,112,73,98,72,92,76,11,,,10,42,900,101
Cambodia,106,80,99,,56,95,76,89,83,6,79,90,170,161,210,134
Cameroon,104,83,90,86,40,83,59,65,61,2,69,65,780,596,35,104
Canada,105,,101,100,,100,99,100,98,26,,,11,7,"8,800",
Central African Republic,107,48,74,51,29,68,38,40,53,5,,,540,882,27,96
Chad,105,45,77,46,18,55,31,20,22,1,5,16,860,856,18,85
Chile,107,100,97,101,,,,100,100,50,,,14,22,"2,600",101
China,104,95,100,103,97,97,69,100,100,41,,,20,27,"2,400",
Colombia,110,100,97,107,84,97,90,99,99,46,7,1,54,64,800,106
Comoros,105,75,93,107,28,92,49,82,76,10,14,49,170,335,66,121
Congo,105,84,107,87,39,93,79,94,92,5,86,80,440,442,45,
Cook Islands,,,94,108,,100,,100,100,,,,0,,,94
Costa Rica,106,100,99,104,89,98,90,99,99,22,,,28,25,"2,100",101
Côte d'Ivoire,106,73,89,72,31,91,44,59,57,3,34,70,610,645,32,95
Croatia,109,99,100,105,,,92,100,,21,,,3,8,"7,900",99
Cuba,105,100,95,105,88,99,98,99,100,40,98,99,42,39,"1,800",100
Cyprus,106,99,100,99,,99,,,97,,,,,7,"9,400",99
Czechia,108,,100,101,86,,,100,100,20,,,1,4,"14,800",100
Democratic People's Republic of Korea,110,,,101,90,100,94,100,95,13,,,77,82,660,
Democratic Republic of the Congo,105,75,91,62,16,88,48,80,80,5,8,44,850,693,24,99
Denmark,105,,98,104,,,,,,21,,,,6,"9,500",100
Djibouti,105,,91,82,,88,23,87,87,11,,,380,229,140,88
Dominica,,,98,99,,100,,100,,,,,110,,,95
Dominican Republic,109,101,91,110,84,98,93,98,98,58,95,95,110,92,400,105
Ecuador,107,98,106,104,81,84,58,96,93,46,,,46,64,580,102
Egypt,106,81,100,99,80,90,83,92,87,52,14,82,49,33,810,
El Salvador,113,96,96,101,82,96,90,98,98,32,97,94,42,54,890,105
Equatorial Guinea,105,86,98,,21,91,67,68,67,7,,,310,342,61,100
Eritrea,107,73,86,85,20,89,57,34,34,3,,5,490,501,43,103
Estonia,113,100,100,99,,,97,100,99,,,,7,9,"6,300",101
Ethiopia,106,59,91,96,59,62,32,28,26,2,0,17,410,353,64,105
Fiji,109,,99,111,,100,94,100,99,,,,59,30,"1,200",98
Finland,107,,100,109,,100,,,100,16,,,,3,"21,700",100
France,108,,99,101,96,100,99,,98,21,,,,8,"6,100",
Gabon,105,94,97,,34,95,78,89,90,10,25,60,320,291,85,
Gambia,104,65,105,,24,86,78,57,63,2,6,76,430,706,24,106
Georgia,112,100,102,100,53,98,88,100,100,41,,,32,36,"1,500",100
Germany,106,,99,94,,100,99,,99,29,,,,6,"11,700",100
Ghana,103,83,102,97,41,91,87,71,73,13,23,81,450,319,74,97
Greece,107,98,99,94,,,,,,,,,,3,"23,700",100
Grenada,107,,96,100,,100,,99,,,,,23,27,"1,500",
Guatemala,109,88,96,93,66,91,86,66,65,26,8,78,140,88,330,99
Guinea,102,50,85,66,16,85,57,45,40,2,25,37,720,679,29,97
GuineaBissau,106,50,,,38,92,65,45,44,4,55,48,900,549,38,
Guyana,107,99,97,99,53,91,87,86,93,17,95,93,86,229,170,105
Haiti,107,84,,,45,90,67,49,36,6,19,32,380,359,90,
Holy See,,,,,,,,,,,,,,,,
Honduras,107,100,99,119,76,97,89,83,83,19,81,85,73,129,300,110
Hungary,110,,99,100,,,,99,,31,,,15,17,"4,400",100
Iceland,104,,99,104,,,,,,17,,,,3,"14,600",102
India,105,75,112,101,72,74,51,81,79,17,24,62,170,174,220,99
Indonesia,106,96,97,100,79,95,84,93,80,12,48,80,360,126,320,
Iran (Islamic Republic of),103,89,105,99,69,97,94,96,95,46,,,25,25,"2,000",99
Iraq,107,72,,,59,78,50,91,77,22,,,35,50,420,
Ireland,105,,101,103,,100,,100,100,25,,,,8,"6,100",
Israel,104,,101,101,,,,,,,,,,5,"6,200",98
Italy,106,99,99,98,,99,68,,100,40,,,,4,"19,700",100
Jamaica,107,116,,107,83,98,86,99,99,21,,,80,89,520,103
Japan,108,,100,100,,,,,100,,,,,5,"13,400",100
Jordan,105,99,101,106,58,99,95,100,99,28,75,82,19,58,490,
Kazakhstan,115,100,102,103,80,99,95,99,99,15,99,98,13,12,"3,000",101
Kenya,108,88,99,,75,94,58,62,61,9,36,53,360,510,42,
Kiribati,110,,103,,36,88,71,98,66,10,,,33,90,300,
Kuwait,103,98,101,116,,100,,99,99,,,,2,4,"10,300",101
Kyrgyzstan,112,99,99,102,62,98,95,98,98,7,99,98,36,76,390,100
Lao People's Democratic Republic,105,74,96,93,61,54,37,40,38,4,41,40,210,197,150,104
Latvia,114,100,99,99,,92,,100,98,,,,24,18,"3,500",100
Lebanon,105,93,91,99,,96,,98,100,,,,,15,"3,700",108
Lesotho,109,125,97,136,76,95,74,78,77,10,18,62,"1,000",487,61,129
Liberia,103,44,90,78,37,96,78,61,56,4,35,71,"1,100",725,28,
Libya,108,,,,30,93,,,100,,,,,9,"4,200",
Liechtenstein,,,98,78,,,,,,,,,,,,
Lithuania,115,100,100,96,,100,,100,,,,,7,10,"6,300",100
Luxembourg,106,,100,102,,,97,100,100,29,,,,10,"6,500",103
Madagascar,105,91,100,98,50,82,51,44,38,2,13,46,480,353,60,105
Malawi,109,79,102,90,75,95,51,90,91,6,60,42,440,634,29,102
Malaysia,106,95,100,108,,97,,99,99,,,,24,40,"1,200",101
Maldives,103,100,,,43,99,85,96,95,32,1,70,110,68,600,106
Mali,102,49,91,81,48,48,38,44,65,2,63,58,460,587,27,94
Malta,104,103,102,107,,100,,,100,,,,,9,"8,300",104
Marshall Islands,,100,100,110,81,81,77,90,85,9,,,110,,,
Mauritania,105,62,105,93,30,85,63,64,69,5,58,57,630,602,36,98
Mauritius,110,96,102,105,41,,,100,98,,,,22,53,"1,300",99
Mexico,107,98,100,107,81,99,94,98,97,41,95,95,35,38,"1,100",102
Micronesia (Federated States of),103,,100,,,80,,100,87,11,,,160,100,310,
Monaco,,,,,,,,,,,,,,,,
Mongolia,113,100,98,102,68,99,90,98,98,23,99,95,26,44,800,
Montenegro,106,98,98,100,34,92,87,99,99,20,99,95,0,7,"8,300",102
Montserrat,,,,,,,,,,,,,,,,
Morocco,103,74,95,85,75,77,55,74,73,16,,1,110,121,320,96
Mozambique,108,54,92,92,28,91,51,54,55,4,,5,410,489,40,94
Myanmar,107,90,97,103,75,81,59,60,37,17,36,71,230,178,260,
Namibia,109,99,97,,75,97,63,88,87,14,20,69,390,265,100,104
Nauru,,,92,102,43,95,40,97,99,8,,,0,,,
Nepal,105,68,108,107,56,84,69,58,57,9,58,57,280,258,150,104
Netherlands,105,,99,101,,,,,,14,,,,7,"8,700",
New Zealand,104,,100,106,,,,,97,23,,,,11,"4,500",
Nicaragua,108,100,,,90,95,88,88,71,30,,3,51,150,270,
Niger,103,38,86,71,35,83,38,40,59,1,13,37,520,553,23,104
Nigeria,103,68,98,93,33,61,51,35,36,2,14,40,550,814,22,
Niue,,,82,110,,100,,100,,,,,0,,,
Norway,105,,100,97,,,,,99,16,,,,5,"11,500",100
Oman,106,89,103,107,19,99,94,99,99,19,98,95,18,17,"1,900",101
Pakistan,103,64,85,79,47,73,37,55,48,14,43,60,280,178,140,99
Palau,,100,111,99,,90,81,100,100,,,,0,,,
Panama,108,99,97,107,76,93,88,94,91,28,93,92,81,94,420,102
Papua New Guinea,108,80,91,76,41,79,55,53,43,,,,730,215,120,
Paraguay,106,98,97,107,84,96,83,96,97,49,,,82,132,270,104
Peru,107,94,100,100,63,97,96,92,91,32,96,93,93,68,570,103
Philippines,110,101,100,110,52,95,84,73,61,9,53,72,220,114,280,
Poland,111,,100,96,,,,100,100,21,,,2,3,"22,100",100
Portugal,108,96,96,97,,100,,100,99,31,,,,10,"8,200",
Qatar,103,100,101,126,69,91,85,100,99,20,,,11,13,"3,500",97
Republic of Korea,108,,99,99,,,97,,100,32,,,,11,"7,200",100
Republic of Moldova,113,100,99,101,60,99,95,100,99,16,,87,30,23,"3,200",100
Romania,110,99,98,99,47,76,76,95,95,34,,,14,31,"2,300",100
Russian Federation,117,100,101,98,72,,,100,99,13,,,11,25,"2,300",101
Rwanda,107,89,101,109,66,99,44,91,91,13,19,43,210,290,85,118
Saint Kitts and Nevis,,,102,105,,100,,100,,,,,310,,,98
Saint Lucia,107,,,99,72,97,90,99,100,19,100,90,34,48,"1,100",100
Saint Vincent and the Grenadines,106,,98,97,,100,100,99,,,,,45,45,"1,100",
Samoa,109,100,100,111,39,93,73,83,82,5,,63,29,51,500,97
San Marino,,,99,103,,,,,,,,,,,,103
Sao Tome and Principe,107,90,94,113,50,98,84,93,91,6,91,87,160,156,140,
Saudi Arabia,104,95,103,76,,97,,98,,,,,14,12,"3,100",
Senegal,106,64,112,98,44,95,47,53,75,5,50,74,430,315,61,108
Serbia,108,99,100,101,25,98,94,98,98,29,,,12,17,"3,900",97
Seychelles,113,101,103,107,,,,99,,,,,57,,,
Sierra Leone,102,60,101,86,38,97,76,60,54,3,39,73,"1,200","1,360",17,101
Singapore,105,97,,,,,,,100,,,,,10,"8,200",
Slovakia,110,,99,101,,97,,99,,24,,,0,6,"12,100",101
Slovenia,107,,100,100,,100,,100,100,,,,0,9,"7,000",100
Solomon Islands,104,,99,94,60,89,69,86,85,6,16,69,150,114,220,114
Somalia,106,,,,,26,6,9,9,,,,"1,000",732,22,
South Africa,112,98,95,127,81,94,76,97,96,26,,84,580,138,300,
South Sudan,104,55,71,54,6,62,17,19,12,1,,,"2,100",789,26,
Spain,107,99,101,100,,,,,,26,,,,5,"14,700",100
Sri Lanka,109,97,98,105,69,99,93,99,100,32,,,32,30,"1,600",100
State of Palestine,105,97,100,110,65,99,96,100,99,20,94,91,,45,490,105
Sudan,105,,90,95,30,79,51,78,28,9,28,27,220,311,72,99
Suriname,109,96,98,127,73,91,67,90,92,19,,,130,155,270,115
Swaziland,112,98,92,99,81,99,76,88,88,12,90,88,590,389,76,107
Sweden,104,,104,114,,100,,,,,,,,4,"12,900",100
Switzerland,105,,100,97,,,,,,30,,,,5,"12,400",
Syrian Arab Republic,120,84,97,100,53,88,64,96,78,26,,,65,68,440,101
Tajikistan,109,100,99,90,51,79,53,98,77,4,54,81,29,32,790,101
Thailand,111,96,94,94,89,98,91,99,99,33,,,12,20,"3,600",
The former Yugoslav Republic of Macedonia,105,96,99,97,22,99,94,100,100,25,,,4,8,"8,500",99
TimorLeste,105,83,99,107,38,84,55,29,21,2,2,24,570,215,82,103
Togo,103,66,95,,32,73,57,45,73,7,35,71,400,368,58,96
Tokelau,,,,93,,,,,,,,,,,,
Tonga,109,100,99,109,48,99,70,96,98,17,,,36,124,230,
Trinidad and Tobago,110,,,,55,96,100,100,97,,,,84,63,860,
Tunisia,106,84,97,105,73,98,85,74,99,27,98,92,,62,710,103
Turkey,109,94,99,97,60,97,89,97,97,48,72,88,29,16,"3,000",99
Turkmenistan,111,,98,96,76,100,96,100,100,6,100,100,7,42,940,
Turks and Caicos Islands,,,,,,,,,,,,,,,,
Tuvalu,,,101,128,41,97,67,93,93,7,,,0,,,
Uganda,108,78,102,91,48,97,60,57,73,5,11,54,340,343,47,103
Ukraine,115,100,102,98,68,99,87,99,99,12,99,96,14,24,"2,600",100
United Arab Emirates,103,102,99,,,100,,100,100,,,,0,6,"7,900",103
United Kingdom,105,,100,104,,,,,,26,,,,9,"5,800",
United Republic of Tanzania,106,88,103,91,53,91,51,64,63,6,42,34,560,398,45,115
United States,106,,100,102,83,,97,99,,31,,,28,14,"3,800",
Uruguay,110,101,98,111,,97,77,100,100,30,,,17,15,"3,300",101
Uzbekistan,108,100,96,98,,99,,100,100,14,,,19,36,"1,000",101
Vanuatu,106,,98,106,51,76,52,89,89,12,,,86,78,360,
Venezuela (Bolivarian Republic of),112,100,97,108,,98,84,100,99,52,,,69,95,420,100
Viet Nam,113,95,99,,70,96,74,94,94,28,89,90,67,54,870,104
Yemen,105,,84,69,47,60,25,45,30,5,11,20,150,385,60,93
Zambia,108,88,101,,64,96,56,63,67,4,16,63,400,224,79,94
Zimbabwe,106,99,98,98,85,93,76,78,77,6,73,57,650,443,52,104