Countries and Areas,Under 5 Mortality Rank,Under5 mortality rate  1990,Under5 mortality rate 2016,Under5 mortality rate by sex 2016 male,Under5 mortality rate by sex 2016 female,Infant mortality rate (under 1) 1990,Infant mortality rate (under 1) 2016,Neonatal  mortality rate 2016,Total population (thousands) 2016,Annual number of births (thousands) 2016,Annual number of under5 deaths (thousands) 2016,Life expectancy at birth (years) 2016,Total adult literacy rate  (%) 2011−2016*,Primary school net enrolment ratio (%) 2011−2016*,Low birthweight     (%) U 20112016*,Early initiation of breastfeeding (%) 20112016*,Exclusive breastfeeding 6 months  (%) 20112016*,"Introduction to solid, semisolid or soft foods 68 months (%) 20112016*",Minimum acceptable diet 623 months (%) 20112016*,Breastfeeding at age 2 (%) 20112016*,Stunting (%) moderate & severe 20112016*,Overweight (%) moderate & severe20112016*,Wasting (%) moderate & severe 20112016*,Wasting (%) severe 20112016*,"Vitamin A supplementation, full coverageΔ (%) 2015",Households consuming salt with iodine (%) 20112016*,Life expectancy: females as a % of males,Adult literacy rate: females as a % of males,"Enrolment ratios: 
females as a % of males Primary GER","Enrolment ratios: 
females as a % of males Secondary GER",Survival rate to the last grade of primary: females as a % of males, Demand for family planning satisfied with modern methods (%) ,Antenatal care (%) At least one visit,Antenatal care (%) At least four visits,Delivery care (%) Skilled birth attendant,Delivery care (%) Institutional delivery,Delivery care (%) Csection,Postnatal health check (%)+ For newborns,Postnatal health check (%)+For mothers,Maternal mortality ratio† Reported,Maternal mortality ratio† Adjusted,Lifetime risk of maternal death (1 in:),Use of basic drinking water services (%) total,Use of basic drinking water services (%) urban,Use of basic drinking water services (%)rural,Use of basic sanitation services (%) total,Use of basic sanitation services (%)urban,Use of basic sanitation services (%) rural,BCG,DTP1β,DTP3β,polio3,MCV1,MCV2^,HepB3,Hib3,rota,PCV3,Protection at birth (PAB) against tetanusλ ,Care seeking for children with symptoms of pneumonia                (%),Treatment with oral rehydration salts (ORS) (%),Care seeking for children with fever           (%),Children sleeping under ITNs             (%),Households with at least one ITN        (%),"HIV incidence per 1,000 uninfected population All ages","HIV incidence per 1,000 uninfected population children 5","HIV incidence per 1,000 uninfected population adolescents 1519",People living with HIV All ages,People living with HIV children 15,People living with HIV adolescents 1019,New HIV infections All ages,New HIV infections children 5,New HIV infections adolescents 1519,AIDSrelated deaths All ages,AIDSrelated deaths children 15,AIDSrelated deaths adolescents 1019,"Pregnant women reciving ARVs for PMTCT (%)
2016*",People living with HIV receiving antiretroviral therapy (ART) (%) All ages,People living with HIV receiving antiretroviral therapy (ART) (%) children 15,People living with HIV receiving antiretroviral therapy (ART) (%) adolescents 1019,Condom use among adolescents with multiple partners (%) male,Unnamed: 82,Condom use among adolescents with multiple partners (%) female,Unnamed: 84,Youth (1524 years) literacy rate (%) male,Youth (1524 years) literacy rate (%) female,Number per 100 population  mobile phones,Number per 100 population  internet users,Preprimary school participation (%) male,Preprimary school participation (%) female,Primary school participation Gross enrollment ratio (%) male,Primary school participation Gross enrollment ratio (%) female,Primary school participation Net enrollment ratio (%) male,Primary school participation Net enrollment ratio (%) female,Primary school participation Net attendance ratio (%) male,Primary school participation Net attendance ratio (%) female,Survival rate to last primary grade (%) male,Survival rate to last primary grade (%)  female,Lower secondary school participation Net enrollment ratio (%) male,Lower secondary school participation Net enrollment ratio (%) female,Lower secondary school participation Net attendance ratio (%) male,Lower secondary school participation Net attendance ratio (%) female,Population (thousands) total,Population (thousands) under 18,Population (thousands) under 5,Population annual growth rate (%) 19902016,Population annual growth rate (%) 20162030α,Crude death rate 1970,Crude death rate 1990,Crude death rate 2016,Crude birth rate 1970,Crude birth rate 1990,Crude birth rate 2016,Life expectancy 1970,Life expectancy 1990,Life expectancy 2016,Total fertility rate 2016,Urbanized population (%) 2016,Average annual growth rate of urban population (%) 19902016,Average annual growth rate of urban population (%) 20162030α,Child labour (%)+  total,Child labour (%)+  male,Child labour (%)+ female,Child marriage (%) married by 15,Child marriage (%) married by 18,Birth registration (%),Female genital mutilation/cutting (%) prevalence women,Female genital mutilation/cutting (%) prevalence girls,Female genital mutilation/cutting (%) support for the practice,Justification of wifebeating (%) male,Justification of wifebeating (%) female,Violent discipline (%) total,Violent discipline (%) male,Violent discipline (%) female,Adolescent population Aged 1019 (thousands),Adolescent population Proportion of total population (%),Adolescents currently married/ in union male,Adolescents currently married/ in union female,Births by age 18 (%),Adolescent birth rate,Justification of wifebeating among adolescents  male,Justification of wifebeating among adolescents female,Use of mass media among adolescents (%) male,Use of mass media among adolescents (%) female,Lower secondary school gross enrolment ratio,Upper secondary school gross enrolment ratio,Comprehensive knowledge of HIV among adolescents (%) male,Comprehensive knowledge of HIV among adolescents (%) female,Birth registration (%) Urban,Birth registration (%) Rural,Birth registration (%) Ratio of urban to rural,Skilled birth attendant (%) Urban,Skilled birth attendant (%)  Rural,Skilled birth attendant (%) Ratio of urban to rural,Stunting prevalence in children under 5 (moderate & severe) Urban,Stunting prevalence in children under 5 (moderate & severe) Rural,Stunting prevalence in children under 5 (moderate & severe) Ratio of rural to urban,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Urban,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Rural,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Ratio of urban to rural,Primary school net attendance ratio Urban,Primary school net attendance ratio Rural,Primary school net attendance ratio Ratio of urban to rural,"Comprehensive knowledge of HIV/AIDS (%)
Females 1524 Urban","Comprehensive knowledge of HIV/AIDS (%)
Females 1524 Rural","Comprehensive knowledge of HIV/AIDS (%)
Females 1524 Ratio of urban to rural",Use of basic sanitation services (%)  Urban,Use of basic sanitation services (%)  Rural,Use of basic sanitation services (%) Ratio of urban to rural,Birth registration (%) poorest 20%,Unnamed: 171,Birth registration (%) richest 20%,Unnamed: 173,Birth registration (%) Ratio of richest to poorest,Unnamed: 175,Skilled birth attendant (%) poorest 20%,Unnamed: 177,Skilled birth attendant (%) richest 20%,Unnamed: 179,Skilled birth attendant (%) Ratio of richest to poorest,Unnamed: 181,Stunting prevalence in children under 5 (moderate & severe) poorest 20%,Unnamed: 183,Stunting prevalence in children under 5 (moderate & severe) richest 20%,Unnamed: 185,Stunting prevalence in children under 5 (moderate & severe) Ratio of poorest to richest,Unnamed: 187,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) poorest 20%,Unnamed: 189,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) richest 20%,Unnamed: 191,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Ratio of richest to poorest,Unnamed: 193,Primary school net attendance ratio poorest 20%,Unnamed: 195,Primary school net attendance ratio richest 20%,Unnamed: 197,Primary school net attendance ratio Ratio of richest to poorest,Unnamed: 199,"Comprehensive knowledge of HIV/AIDS (%)
Females 1524 poorest 20%",Unnamed: 201,"Comprehensive knowledge of HIV/AIDS (%)
Females 1524 richest 20%",Unnamed: 203,"Comprehensive knowledge of HIV/AIDS (%)
Females 1524 Ratio of richest to poorest",Unnamed: 205,"Comprehensive knowledge of HIV/AIDS (%)
Males 1524 poorest 20%",Unnamed: 207,"Comprehensive knowledge of HIV/AIDS (%)
Males 1524 richest 20%",Unnamed: 209,"Comprehensive knowledge of HIV/AIDS (%)
Males 1524 Ratio of richest to poorest",Unnamed: 211,Attendance in early childhood education total,Attendance in early childhood education male,Attendance in early childhood education female,Attendance in early childhood education poorest 20%,Attendance in early childhood education richest 20%,Adult support for learning total,Adult support for learning male,Adult support for learning female,Adult support for learning poorest 20%,Adult support for learning richest 20%,"Father's support for learning++
20052016*",Learning materials at home (books) total,Learning materials at home (books) poorest 20%,Learning materials at home (books) richest 20%,Learning materials at home (playthings) total,Learning materials at home (playthings) poorest 20%,Learning materials at home (playthings) richest 20%,Children with inadequate supervision total,Children with inadequate supervision male,Children with inadequate supervision female,Children with inadequate supervision poorest 20%,Children with inadequate supervision richest 20%
Andorra,179,9,3,3,3,7,2,1,77.281,,0,,100,,,,,,,,,,,,,,,100,,,99.1100684957175,,,,,,,,,,,,100,100,100,100,100,100,,99,98,98,97,90,94,98,0,92,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,87.1897331551916,97.9306371220021,,,,,,,,,70.97962,70.34795,,,,,77.281,13.3832587203383,3.41053310118128,1.34262424664989,0.080236495712541,,,,,,,,,,,84.612,1.11716363531673,0.228305760065748,,,,,,100,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,118,50,13,15,12,42,12,7,2924.816,40.158,1,74.618,99.74441,96.07425,8,41,44.5,90,24,21.6,9.4,13.6,4.2,1.5,,99.3,108.974034377022,99.884,100.03430140073,101.056,98.6609763884816,40.2,99.6,96,99.8,99.3,18,98.2,97.4,16.8,25,2300,98.9236524346622,99.1563480509748,98.5329504666188,91.5827666523109,96.4767543348016,83.3656345488807,99,97,94,96,97,97,94,94,94,94,,57,36.9,70.9,,,0.08526,0.01,0.17577,3300,,,500,,100,200,,,,36,,,,,,,99.81842,99.87619,114.779632084066,62,51.67092,53.18321,98.45079,98.48456,96.1975,95.93462,99.5,99.4,99.9131,98.57524,,,97.4,98.1,2924.816,685.018,202.199,0.732217917098854,0.042504950727941,6.203,8.473,9.688,22.694,21.768,13.456,70.143,67.879,74.618,1.612,62.558,0.939473846173952,0.050270916850194,8.7,11.4,5.7,0,5,99,,,,23,10,69,71,67.1,355.688,12.1610385063539,0,5,0.7,22.7,25,9,88,91.6,87.56896,89.92696,8.9,14.7,99.3,98,0.993,99.7,99.9,0.997997997997998,6.2,13.4,2.16129032258064,,,,99.8,98.9,1.00910010111223,24.9,14.3,1.74125874125874,96.4767543348016,83.3656345488807,1.15727247632516,98,,99,,0.996,,99.7,,100,,1.00300902708124,,12,,5.9,,2.03389830508475,,,,,,,,98.6,,100,,1.01419878296146,,12.9,,29.6,,2.29457364341085,,4.2,,23.2,,5.52380952380952,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,68,95,31,34,28,75,27,18,9725.376,176.026,5,72.026,99.79006,94.14265,10,19.7,12.1,76.9,21.7,16.2,18,13,3.1,1.1,96,93.8,108.722592254001,99.855,98.3178299710657,,95.2321799611515,21.5,91.7,66.1,99.8,93.1,20,3,83.3,14.4,25,1600,84.3778721395599,94.7543223700495,71.8886321309803,89.3490808342493,91.5954344250121,86.6453383678002,98,98,97,98,98,98,97,97,0,97,,36,11.1,,1,,0.09875,0.01356,0.04779,9200,200,100,1000,100,100,500,100,100,75,30,76,36.0333091910162,,,,,99.96238,99.91648,106.284568780669,78.2,23.71716,24.0609,107.44336,105.63598,95.26912,92.85074,68.6,66.7,99.85444,95.09356,84.71635,81.90473,,,9725.376,2653.401,890.505,1.13359546955739,0.668951394390579,9.491,8.727,6.828,32.003,28.538,17.829,63.141,64.827,72.026,2.079,54.895,1.22108149739989,1.15067470428544,6.5,7.5,5.4,1.9,11,93.6,,,,,28,76.8,80,73.8,1357.714,13.9605296494449,,8.9,4,47.2,,23.8,,98.1,90.54043,,2.1,3.1,95.5,91.7,1.04143947655398,98.6,95.1,1.03680336487907,15.2,20.7,1.36184210526316,11.1,11.1,1,68.3,67,1.01940298507463,7,2.1,3.33333333333333,91.5954344250121,86.6453383678002,1.05713055255436,91.6,x,97,x,1.0589519650655,x,90,,100,,1.11111111111111,,28.1,,16,,1.75625,,2.7,x,36,x,13.3333333333333,x,66.7,y,70,y,1.04947526236882,y,1.2,x,12.4,x,10.3333333333333,x,2.3,x,14.4,x,6.26086956521739,x,,,,,,,,,,,,,,,,,,,,,,
Bahrain,142,23,8,8,7,20,7,3,1425.171,21.489,0,76.9,94.55679,96.4285,9.9,,,,,,,,,,,,102.516692347201,95.291,101.229869064084,99.534,97.388803321523,,100,100,99.8,97.5,,,,16.9,15,3000,100,,,100,,,,99,99,99,99,99,99,99,98,99,98,,,,,,0.03552,0.02113,0.01709,500,,,100,,100,100,,,,42,,,,,,,98.61991,97.58234,216.925830475868,97.9999807024146,56.33761,55.37067,100.56599,101.80282,96.0326,96.84172,86.2,86.6,99.09671,96.5091,90.3574,88.48546,,,1425.171,334.453,106.665,4.0600395436874,2.46715287122305,7.081,3.386,2.359,38.264,29.217,14.762,63.448,72.39,76.9,2.033,88.835,3.96793271369041,1.33353137312726,4.6,6.3,3,,,,,,,,,,,,158.392,11.1138944028471,,,,14.5,,,,,101.48575,102.81664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,7,178,98,102,93,107,63,31,10872.298,396.613,38,60.907,32.94882,95.86662,15,46.6,41.4,73,13.6,45.5,34,1.7,4.5,0.9,95,69.3,105.036190218494,49.141,92.154835169429,70.148,95.039065750222,24.5,82.8,58.7,77.2,87,5.3,80.4,78.2,350,405,51,67.0172867018849,76.5609314323491,59.5339113958385,13.9301122458203,24.81436763333,5.3955355414304,96,86,82,78,74,0,82,82,0,75,85,23.3,25.4,43.7,72.7,77,0.344551,0.249238072299713,0.578772224418667,67000,6300,5100,3600,500,1000,2400,500,200,95,57,32,,43.3,,38.1,,63.94092,40.93838,79.6483020808002,11.994047908223,23.64752,24.15984,134.19871,123.6706,99.86262,88.19521,77,71.7,58.64984,55.74026,49.32094,40.5567,40.4,34.2,10872.298,5378.603,1775.445,3.00419326516372,2.59195752214044,23.525,14.68,9.172,46.835,46.029,37.026,42.152,53.812,60.907,4.977,44.395,4.06023469083451,3.37517947281349,52.5,54.3,50.5,7,25.9,84.8,9.2,0.2,3.4,16.6,36,91.1,92.2,89.9,2439.527,22.4380071260004,0.6,16,19.4,98,18.8,30.9,68.2,56.9,69.77802,37.58788,29,21.6,88,82.2,1.0705596107056,83.4,72.5,1.15034482758621,28.5,38.2,1.34035087719298,26.3,24.7,1.06477732793522,82.9,69.4,1.19452449567723,24.7,18.3,1.34972677595628,24.81436763333,5.3955355414304,4.59905554189928,68.8,,95.6,,1.38953488372093,,60.7,,91,,1.499176276771,,46.4,,17.9,,2.59217877094972,,20.1,,31.3,,1.55721393034826,,53.5,,91.6,,1.71214953271028,,14.6,,28.5,,1.95205479452055,,25.6,,41.9,,1.63671875,,13,12.6,13.5,2.1,37.8,27.7,28.2,27.2,18.1,48,5.2,1.4,0,6,47.6,39.1,64.5,34.1,34.6,33.7,38.8,25
Brunei Darussalam,131,13,10,11,9,10,9,4,423.196,6.73,0,77.203,96.08556,,11.9,,,,,,19.7,8.3,2.9,0.4,,,104.373351710246,97.151,100.052178167955,100.409,97.4589067845322,,99,93.2,100,99.9,,,,,23,2300,99.513212,99.65,99.05,96.3304052166744,96.0327473631341,97.3383787936996,99,99,99,99,98,97,99,99,0,0,95,,,,,,,,,,,,,,,,,,,,,,,,,,99.19989,99.54606,120.667453515231,75,71.24908,72.80063,108.11035,108.16676,,,,,97.58241,95.10275,,,,,423.196,120.173,34.28,1.89168395219653,1.04205783807766,6.334,3.688,3.575,36.653,29.399,15.873,66.928,72.916,77.203,1.874,77.505,2.64229798205621,1.29212393471726,,,,,,,,,,,,,,,69.628,16.452896530213,,,,16.8,,,,,104.83989,92.70402,,,,,,,,,,,,,,,,,,,,,96.0327473631341,97.3383787936996,0.986586673758635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
